word,number,pos,meaning
affect,100,v,influence
affect,200,v,pretend
affect,300,n,emotion
alight,100,v,descend
alight,200,a,shining
ally,100,"n,v",friend
ally,200,n,marble
ancient,100,"a,n",old
ancient,200,n,standard
angle,100,"n,v",intersection
angle,200,"v,n",fish
angle,500,n,German
arch,100,"n,v",curve
arch,200,a,playful
arm,100,n,limb
arm,200,v,equip
art,100,n,work
art,200,v,be
ash,100,n,residue
ash,200,n,tree
ball,100,"n,v",sphere
ball,200,n,gathering
ban,100,"v,n",prohibition
ban,200,n,currency
band,100,"n,v",ring
band,200,"n,v",group
bang,100,"n,v,r",noise
bang,500,n,narcotic
bank,100,"n,v",ridge
bank,200,"n,v",repository
bar,100,"n,v",counter
bar,400,n,unit
bark,100,"n,v",yelp
bark,200,"n,v",rind
bark,500,n,vessel
barrack,100,v,shelter
barrack,200,v,encourage
base,100,"n,v",support
base,200,a,inferior
bass,100,n,sound
bass,200,n,fish
bass,300,n,tissue
bat,100,"n,v",club
bat,200,n,mammal
bat,300,v,flutter
bath,100,"n,v",pool
bath,200,n,unit
batter,100,v,hit
batter,200,n,mixture
batter,300,n,player
batter,400,"n,v",slope
bay,100,n,land
bay,200,n,berry
bay,300,n,compartment
bay,400,"a,n",spotted
bay,500,"v,n",shout
bear,100,v,carry
bear,200,n,mammal
bell,100,"n,v",alarm
bell,200,"n,v",cry
bend,100,"v,n",curl
bend,200,n,stripe
bent,100,"v,a,n",curl
bent,400,n,grass
bill,100,"n,v",document
bill,200,"n,v",beak
bill,500,n,weapon
bill,600,n,police
bit,100,n,piece
bit,200,v,bitten
bit,300,"n,v",mouthiece
bit,400,n,digit
blaze,100,"n,v",fire
blaze,200,"n,v",mark
blaze,500,v,announce
bleak,100,a,bare
bleak,200,n,fish
bloom,100,"n,v",flower
bloom,200,"n,v",metal
blow,100,"v,n",breathe
blow,200,n,attack
blow,300,"v,n",bloom
blue,100,"a,n,v",color
blue,400,v,spend
bluff,100,"n,v",deception
bluff,200,a,direct
bluff,300,"n,a",cliff
boil,100,"v,n",heat
boil,200,n,skin
bolt,100,"n,v",weapon
bolt,200,v,run
bolt,300,n,fabric
bolt,400,v,sift
boom,100,"n,v",sound
boom,200,"n,v",period
boom,500,n,beam
boot,100,"n,v",footwear
boot,200,n,additionally
bore,100,"v,n",hollow
bore,200,"n,v",nuisance
bore,500,n,wave
bore,600,v,carry
boss,100,"n,v,a",person
boss,400,n,stud
boss,500,n,cow
bound,100,"v,n",run
bound,200,"n,v",border
bound,400,"v,a",obligated
bound,500,a,ready
bourbon,0,n,whisky
bourbon,200,n,biscuit
bow,100,"n,v",weapon
bow,200,"v,n",bend
bow,500,n,prow
bower,100,"n,v",place
bower,200,n,anchor
bowl,100,n,dish
bowl,200,"n,v",ball
box,100,"n,v",container
box,200,"v,n",strike
box,500,n,plant
box,600,v,turnaround
brake,100,"n,v",device
brake,200,n,carriage
brake,300,n,machine
brake,400,n,thicket
brake,500,n,plant
brake,600,v,fracture
break,100,"v,n",fracture
break,200,n,framework
breeze,100,"n,v",wind
breeze,200,n,mixture
bridge,100,"n,v",structure
bridge,200,n,game
brook,100,n,stream
brook,200,v,tolerate
brush,100,"n,v",tool
brush,200,n,trees
buck,100,"n,v,a",male
buck,400,n,dollar
buck,500,n,reminder
bud,100,"n,v",growth
bud,200,n,friend
buff,100,"n,v,a",colour
buff,400,n,person
buffer,100,"n,v",barrier
buffer,200,n,man
buffet,100,n,meal
buffet,200,"v,n",strike
buffet,300,n,stool
bugle,100,"n,v",instrument
bugle,200,n,plant
bugle,300,n,bead
bull,100,"n,v",animal
bull,200,n,document
bull,300,n,nonsense
bully,100,"n,v",person
bully,200,a,good
bully,300,n,beef
bully,400,"n,v",start
bunk,100,"n,v",bed
bunk,200,n,nonsense
bunk,300,v,leave
bunt,100,"v,n",push
bunt,200,n,net
bunt,300,n,disease
burn,100,"v,n",blaze
burn,200,n,stream
bush,100,"n,v",shrub
bush,200,n,metal
bustle,100,"v,n",scurry
bustle,200,n,frame
butt,100,"v,n",hit
butt,200,n,person
butt,300,"n,v",part
butt,600,n,cask
calf,100,n,young
calf,200,n,shin
can,100,v,allowed
can,200,"n,v",container
canon,0,n,gorge
canon,100,n,law
canon,200,n,clergyman
cant,100,"n,v",hypocrisy
cant,200,"v,n",tilt
cap,100,"n,v",hat
cap,200,n,capitalization
cape,100,"n,v",cloak
cape,200,n,headland
capital,100,"n,a",city
capital,400,n,pillar
card,100,"n,v",paper
card,200,"v,n",clean
case,100,n,instance
case,200,"n,v",container
cast,100,"v,n",throw
cast,200,"n,v",actors
cat,100,"n,v",mammal
cat,200,n,device
cat,300,n,boat
chap,100,"v,n",crack
chap,200,n,gentleman
chap,300,n,jaw
chase,100,"v,n",pursue
chase,200,v,engrave
chase,300,n,box
chase,400,n,groove
chat,100,"v,n",talk
chat,200,n,songbird
check,100,"v,n",examine
check,200,"n,a",pattern
cheese,100,n,food
cheese,200,n,celebrity
cheese,300,v,frustrate
chop,100,"v,n",cut
chop,200,v,change
chop,300,n,trademark
chord,100,"n,v",harmony
chord,200,n,line
chuck,100,"v,n",throw
chuck,200,"v,n",touch
chuck,500,n,device
chuck,600,n,food
chuck,700,n,title
chuck,800,n,marmot
clap,100,"v,n",applaud
clap,200,n,disease
clip,100,"n,v",fastener
clip,200,"v,n",cut
close,100,"a,r,n",near
close,200,"v,n",shut
club,100,"n,v",association
club,200,"n,v",weapon
clutch,100,"v,n,a",grasp
clutch,400,n,group
collect,100,"v,r,a,n",accumulate
collect,500,n,prayer
colon,0,n,currency
colon,100,n,punctuation
colon,200,n,intestine
commune,100,n,group
commune,200,v,share
compact,100,"a,v,n",tight
compact,200,"n,v",agreement
companion,100,"n,v",friend
companion,200,n,covering
compound,100,"n,a,v",mixture
compound,400,n,enclosure
con,100,"v,n",trick
con,200,n,disadvantage
con,300,n,criminal
con,400,v,study
con,500,n,conference
con,600,"v,n",steer
content,100,"a,v,n",satisfaction
content,400,n,load
converse,100,"v,n",talk
converse,200,"n,a",opposite
cope,100,v,manage
cope,200,"n,v",cloak
copper,100,"n,v",metal
copper,200,n,police
corn,100,n,crop
corn,200,n,swelling
corporal,100,n,rank
corporal,200,a,bodily
corporal,300,n,cloth
count,100,"v,n",tally
count,200,n,nobleman
counter,100,n,worktop
counter,200,"v,n,r,a",opposite
counter,600,n,shoe
cove,100,"n,v",recess
cove,200,n,man
cow,100,n,animal
cow,200,v,intimidate
crane,100,"n,v",machine
crane,200,n,bird
crash,100,"v,n,a,r",collide
crash,500,n,linen
cricket,100,n,insect
cricket,200,n,sport
cricket,300,n,stool
cuff,100,"n,v",glove
cuff,200,"v,n",strike
dam,100,"n,v",barrier
dam,200,n,mother
date,100,"n,v",day
date,200,n,fruit
deal,100,"v,n",distribute
deal,200,n,plank
dean,100,n,leader
dean,200,n,valley
defer,100,v,postpone
defer,200,v,submit
desert,100,v,abandon
desert,200,"n,a",wasteland
die,100,v,perish
die,200,n,dice
diet,100,"n,v",food
diet,200,n,assembly
divine,100,"a,n",sacred
divine,200,v,predict
do,100,"v,n",accomplish
do,400,n,note
dock,100,"n,v",platform
dock,200,"v,n",deduct
dock,500,n,enclosure
dock,600,n,weed
don,100,n,title
don,200,v,equip
dot,100,"n,v",mark
dot,200,n,dowry
down,100,"r,a,v,n",lower
down,600,n,insulation
down,700,n,hill
drab,100,"a,n",dull
drab,200,n,prostitute
drill,100,"n,v",tool
drill,200,"n,v",machine
drill,500,n,baboon
drill,600,n,fabric
duck,100,n,bird
duck,200,"v,n",avoid
duck,300,n,dear
duck,400,n,fabric
duck,500,n,nought
dun,100,"a,n",color
dun,200,"v,n",demand
dun,500,n,settlement
ear,100,n,organ
ear,200,n,head
earnest,100,a,diligent
earnest,200,n,promise
egg,100,n,embryo
egg,200,v,encourage
elder,100,"a,n",older
elder,200,n,tree
entrance,100,n,opening
entrance,200,v,captivate
even,100,"a,v,r",equal
even,400,n,evening
fair,100,"a,r,n,v",equal
fair,500,n,gathering
fair,600,v,beautify
fan,100,"n,v",device
fan,200,n,admirer
fast,100,"a,r",quick
fast,200,"v,n",abstain
fawn,100,"n,v",deer
fawn,200,v,affection
feint,100,"n,v",pretense
feint,200,a,faded
file,0,n,powder
file,100,"n,v",collection
file,200,"n,v",row
file,300,"n,v",tool
fine,100,"a,n,r,v",high-grade
fine,200,"n,v",penalty
fine,700,n,alcohol
fine,800,n,end
firm,100,"a,v,r",solid
firm,400,n,business
fish,100,"n,v",animal
fish,200,"n,v",plate
fit,100,"a,v,n",suitable
fit,200,"n,v",seizure
fit,600,n,poetry
flag,100,"n,v",cloth
flag,200,n,stone
flag,300,n,iris
flag,400,v,tire
flat,100,"a,r,n,v",even
flat,200,"n,v",residence
flaw,100,"n,v",blemish
flaw,200,n,wind
fleet,100,n,group
fleet,200,a,quick
fleet,300,n,creek
fleet,400,v,pass
fleet,500,"a,r",shallow
flex,100,v,bend
flex,200,n,cable
flip,100,"v,n,a",turn
flip,500,n,beer
flock,100,"n,v",group
flock,200,n,material
flounder,100,v,struggle
flounder,200,n,flatfish
flush,100,"v,n",glow
flush,200,"a,v,r",smooth
flush,600,n,cards
flush,700,n,ground
fly,100,"v,n",movement
fly,200,n,insect
fly,300,a,fashionable
fog,100,"n,v",cloud
fog,200,n,grass
foil,100,"v,n",prevent
foil,200,n,metal
foil,300,n,sword
foil,400,n,speedboat
fold,100,"v,n",bend
fold,200,"n,v",enclosure
fool,100,"n,v,a",clown
fool,400,n,dessert
former,100,a,previously
former,200,n,one that forms
forte,100,n,strength
forte,200,"r,a,n",loud
found,100,"v,a",discovered
found,200,v,establish
found,300,v,fuse
founder,100,n,manufacturer
founder,200,n,originator
founder,300,"v,n",collapse
founder,400,v,chill
frank,100,a,honest
frank,200,"v,n",stamp
frank,300,n,sausage
frank,500,n,person
fret,100,"v,n",anxious
fret,200,"n,v",design
fret,300,"n,v",ridges
fret,700,n,mist
frieze,100,n,decoration
frieze,200,n,cloth
frog,100,n,amphibian
frog,200,n,fastener
frog,300,n,bulge
fuse,100,"v,n",join
fuse,200,"n,v",detonator
fuzz,100,"n,v",hair
fuzz,200,n,police
gage,100,"n,v",guarantee
gage,200,"n,v",measuring instrument
gage,500,n,plum
game,100,"n,a,v",activity
game,400,a,injured
gate,100,"n,v",barrier
gate,200,n,street
gaudy,100,a,flashy
gaudy,200,n,dinner
gig,100,n,vehicle
gig,200,n,performance
gig,300,n,harpoon
gild,100,v,embellish
gild,200,n,association
gilt,100,"a,n",embellished
gilt,200,n,sow
gird,100,v,encircle
gird,200,"v,n",jest
gram,100,n,unit
gram,200,n,grains
gram,300,n,grandmother
grate,100,v,shred
grate,200,n,frame
grave,100,n,hole
grave,200,"a,n",serious
grave,300,v,inscription
grave,400,v,clean
grave,500,"r,a",slowly
greet,100,v,welcome
greet,200,v,weep
gum,100,"n,v",secretion
gum,200,"n,v",flesh
gum,500,n,exclamation
guy,100,"n,v",man
guy,200,"n,v",rope
hack,100,"v,n",cut
hack,200,"n,v",horse
hack,500,n,board
hail,100,"n,v",ice
hail,200,"v,n",call
halt,100,"v,n",stop
halt,200,"a,v",lame
hamper,100,n,basket
hamper,200,"v,n",hinder
hatch,100,n,door
hatch,200,"v,n",birth
hatch,300,v,inlay
hawk,100,"n,v",bird
hawk,200,v,advertise
hawk,300,v,cough
hawk,400,n,board
haze,100,"n,v",fog
haze,200,v,harassment
heel,100,"n,v",foot
heel,200,"v,n",lean
heel,600,v,hide
helm,100,"n,v",wheel
helm,200,n,headgear
hero,0,n,protagonist
hero,200,n,priestress
hide,100,"v,n",conceal
hide,200,n,skin
hide,300,n,land
hip,100,n,pelvis
hip,200,n,fruit
hip,300,a,fashionable
hip,500,n,information
hobby,100,n,activity
hobby,200,n,falcon
hold,100,"v,n",carry
hold,200,n,compartment
hop,100,"v,n",jump
hop,200,"n,v",plant
hopper,100,n,container
hopper,200,n,farmer
host,100,"n,v",person
host,200,n,army
host,300,n,bread
husky,100,a,hoarse
husky,200,n,dog
impress,100,"v,n",influence
impress,200,v,force
incense,100,"n,v",substance
incense,200,v,inflame
inch,100,"n,v",unit
inch,200,n,island
invalid,100,"n,v",disabled
invalid,200,a,irrational
jade,100,n,stone
jade,200,n,woman
jam,100,"v,n",pack
jam,200,"n,v",substance
jar,100,n,cylinder
jar,200,"v,n",shock
jar,300,n,open
jerk,100,"n,v",spasm
jerk,200,"v,n",flesh
jet,100,"n,v",stream
jet,200,n,mineral
job,100,"n,v",employment
job,200,"v,n",stab
junk,100,"n,v",trash
junk,200,n,vessel
keen,100,a,eager
keen,200,"v,n",wail
key,100,"n,a,v",implement
key,400,n,island
kid,100,"n,v",child
kid,200,v,silly
kid,300,n,tub
kind,100,n,similar
kind,200,a,friendly
kit,100,"n,v",provisions
kit,200,n,young
kit,300,n,violin
kit,400,n,flock
knoll,100,n,hill
knoll,200,"v,n",sound
knot,100,"n,v",fastening
knot,200,n,sandpiper
lag,100,"v,n",delay
lag,200,v,cover
lag,300,"n,v",criminal
lake,100,n,pool
lake,200,n,pigment
lap,100,n,cloth
lap,200,"n,v",fold
lap,300,"v,n",waves
last,100,"a,r,n",lowest
last,400,v,continue
last,500,n,shoemaking
launch,100,"v,n",initiate
launch,200,n,motorboat
lawn,100,n,garden
lawn,200,n,fabric
lax,100,a,relaxed
lax,200,n,sport
lay,100,"v,n",position
lay,200,a,non-professional
lay,300,n,song
lay,400,v,dishonesty
lead,100,"v,n",direct
lead,200,n,metal
leading,100,"a,n",important
leading,200,n,blank space
league,100,"n,v",collection
league,200,n,unit
lean,100,"v,n",incline
lean,200,"a,n",thin
leave,100,"v,n",depart
leave,200,n,permission
leave,300,v,grow
let,100,"v,n",allow
let,200,"n,v",circumstance
lie,100,"v,n",recline
lie,200,"n,v",dishonesty
light,100,"n,v,a",illumination
light,400,a,skinny
light,500,v,lessen
limb,100,n,arm
limb,200,n,border
limp,100,"v,n",walk
limp,200,a,weak
line,100,"n,v",row
line,200,v,cover
liner,100,n,ship
liner,200,n,inner coating
link,100,"n,v",relationship
link,200,n,torch
list,100,"n,v",record
list,200,"v,n",incline
list,300,"v,n",want
live,100,v,survive
live,200,"a,r",performance
loaf,100,n,bread
loaf,200,v,laze
lock,100,"n,v",fastener
lock,200,n,hair
log,100,"n,v",tree
log,200,n,logarithm
